scenario,pool,replicate,source,variant,candidate,graph,reliable,best_order,pair,slope,correlation
growth,0,0,true,poisson_shared,g21_o1,21,False,False,"0,2",0.14766519992946106,0.4535313214307143
growth,0,0,true,poisson_shared,g21_o1,21,False,False,"1,1",-0.3071969117411704,-0.7261771642892414
growth,0,0,true,poisson_shared,g21_o1,21,False,False,"1,2",0.1267267062565931,0.45835660927355226
growth,0,0,true,poisson_shared,g21_o1,21,False,False,"2,2",-0.03559802984215085,-0.09070687735207829
growth,0,0,true,poisson_shared,g09_o2,9,False,False,"0,0",0.05073282214223356,0.1988851487625951
growth,0,0,true,poisson_shared,g09_o2,9,False,False,"0,1",-0.14229725454889086,-0.31975756916369824
growth,0,0,true,poisson_shared,g09_o2,9,False,False,"0,2",0.036551586034677536,0.40631808722175305
growth,0,0,true,poisson_shared,g09_o2,9,False,False,"1,1",-0.19482756873541787,-0.560519535589337
growth,0,0,true,poisson_shared,g09_o2,9,False,False,"1,2",-0.06734918612926682,-0.461409104769572
growth,0,0,true,poisson_shared,g09_o2,9,False,False,"2,2",-0.03913296410567615,-0.192169239247121
growth,0,0,true,poisson_shared,g15_o1,15,False,True,"0,0",-0.035471298489515427,-0.241771057988712
growth,0,0,true,poisson_shared,g15_o1,15,False,True,"0,1",0.001397321699834019,0.014026809293798825
growth,0,0,true,poisson_shared,g15_o1,15,False,True,"0,2",0.008959515563697083,0.3627453314115327
growth,0,0,true,poisson_shared,g15_o1,15,False,True,"1,1",-0.029616481371372766,-0.18244422719023257
growth,0,0,true,poisson_shared,g15_o1,15,False,True,"1,2",-0.004979966103733617,-0.18746251553272666
growth,0,0,true,poisson_shared,g15_o1,15,False,True,"2,2",0.0022490766426616028,0.011311357339780238
growth,0,0,true,poisson_shared,g01_o1,1,False,True,"0,0",0.16000694367955814,0.8186671778613075
growth,0,0,true,poisson_shared,g01_o1,1,False,True,"0,1",-0.10498479633990557,-0.32500976784659885
growth,0,0,true,poisson_shared,g01_o1,1,False,True,"0,2",0.03075405670487089,0.3846622452574332
growth,0,0,true,poisson_shared,g01_o1,1,False,True,"1,1",-0.1558552510486652,-0.5144751851114493
growth,0,0,true,poisson_shared,g01_o1,1,False,True,"1,2",-0.09393573488230013,-0.4674109782272075
growth,0,0,true,poisson_shared,g01_o1,1,False,True,"2,2",-0.03434517089851476,-0.17504952332352547
growth,0,0,true,poisson_shared,g11_o1,11,False,True,"0,0",-0.008575087931429422,-0.0511112940298892
growth,0,0,true,poisson_shared,g11_o1,11,False,True,"0,1",-0.012250564653498048,-0.08448764235827635
growth,0,0,true,poisson_shared,g11_o1,11,False,True,"0,2",0.029886503554387846,0.3705159586371684
growth,0,0,true,poisson_shared,g11_o1,11,False,True,"1,1",-0.051047152682751964,-0.2868421401258306
growth,0,0,true,poisson_shared,g11_o1,11,False,True,"1,2",-0.11025265146802588,-0.4645701272189322
growth,0,0,true,poisson_shared,g11_o1,11,False,True,"2,2",-0.020688546998950025,-0.10607415464823461
growth,0,0,true,poisson_shared,g10_o1,10,False,True,"0,0",-0.013217179246350142,-0.07613786089830879
growth,0,0,true,poisson_shared,g10_o1,10,False,True,"0,1",-0.01288375190799789,-0.1011163269082141
growth,0,0,true,poisson_shared,g10_o1,10,False,True,"0,2",0.03092436174043197,0.3728956968427809
growth,0,0,true,poisson_shared,g10_o1,10,False,True,"1,1",-0.04141827074863907,-0.22506854081025024
growth,0,0,true,poisson_shared,g10_o1,10,False,True,"1,2",-0.09852217943154795,-0.46343279615992916
growth,0,0,true,poisson_shared,g10_o1,10,False,True,"2,2",-0.0432336266233444,-0.21839996165391945
growth,0,0,true,poisson_shared,g04_o1,4,False,True,"0,0",0.04104818973755463,0.15664451208094604
growth,0,0,true,poisson_shared,g04_o1,4,False,True,"0,1",-0.11081524842190567,-0.286565501910163
growth,0,0,true,poisson_shared,g04_o1,4,False,True,"0,2",0.03212010231590164,0.3844281586770378
growth,0,0,true,poisson_shared,g04_o1,4,False,True,"1,1",-0.18105332990932668,-0.533646929061724
growth,0,0,true,poisson_shared,g04_o1,4,False,True,"1,2",-0.08734892032066556,-0.46598497311593906
growth,0,0,true,poisson_shared,g04_o1,4,False,True,"2,2",-0.02968349513079919,-0.15172645066375431
growth,0,0,true,poisson_shared,g20_o1,20,False,True,"0,0",0.042854060744587516,0.35472168684382926
growth,0,0,true,poisson_shared,g20_o1,20,False,True,"0,1",-1.6087193437936746,-0.237108970477896
growth,0,0,true,poisson_shared,g20_o1,20,False,True,"0,2",0.14339602745776492,0.4431288843490291
growth,0,0,true,poisson_shared,g20_o1,20,False,True,"1,1",-0.2666682860651814,-0.7017101629440924
