scenario,pool,replicate,source,variant,search,complete,reliable,winner,backbone_correct,full_graph_correct,elbo_gap,rank_backbone,rank_explicit,logz_winner
growth,0,9,hapibd,poisson_shared,including_loop,True,False,15,True,False,12.707417157139957,1,2,15
growth,0,9,hapibd,poisson_separate,loop_omitted,True,False,10,False,False,0.19299352057271335,2,,15
growth,0,9,hapibd,poisson_separate,including_loop,True,False,22,True,True,8.82613340248048,3,1,15
constant,0,0,true,poisson_shared,loop_omitted,True,False,15,True,False,75.79188029583057,1,,15
constant,0,0,true,poisson_shared,including_loop,True,False,15,True,False,11.053568870795601,1,2,15
constant,0,0,true,poisson_separate,loop_omitted,True,False,10,False,False,2.3088004023788926,2,,15
constant,0,0,true,poisson_separate,including_loop,True,False,22,True,True,6.647973610985389,3,1,15
constant,0,0,hapibd,poisson_shared,loop_omitted,True,False,15,True,False,93.16923982696582,1,,15
constant,0,0,hapibd,poisson_shared,including_loop,True,False,15,True,False,4.846561917278336,1,2,15
constant,0,0,hapibd,poisson_separate,loop_omitted,True,False,11,False,False,9.799536644871125,2,,15
constant,0,0,hapibd,poisson_separate,including_loop,True,False,22,True,True,24.00871489540407,3,1,15
constant,0,1,true,poisson_shared,loop_omitted,True,False,15,True,False,66.32770859332618,1,,15
constant,0,1,true,poisson_shared,including_loop,True,False,15,True,False,6.731381214544399,1,2,15
constant,0,1,true,poisson_separate,loop_omitted,True,False,10,False,False,14.877657946701845,2,,15
constant,0,1,true,poisson_separate,including_loop,True,False,22,True,True,11.475491380122378,3,1,15
constant,0,1,hapibd,poisson_shared,loop_omitted,True,False,15,True,False,233.02777488935826,1,,15
constant,0,1,hapibd,poisson_shared,including_loop,True,False,15,True,False,10.04967810169515,1,2,15
constant,0,1,hapibd,poisson_separate,loop_omitted,True,False,15,True,False,3.862687412894161,1,,15
constant,0,1,hapibd,poisson_separate,including_loop,True,False,22,True,True,10.678040071581393,2,1,15
constant,0,2,true,poisson_shared,loop_omitted,True,False,15,True,False,231.780618519486,1,,15
constant,0,2,true,poisson_shared,including_loop,True,False,15,True,False,14.265861959272144,1,2,15
constant,0,2,true,poisson_separate,loop_omitted,True,False,11,False,False,10.267515952571102,2,,15
constant,0,2,true,poisson_separate,including_loop,True,False,22,True,True,15.836835379024421,3,1,15
constant,0,2,hapibd,poisson_shared,loop_omitted,True,False,15,True,False,236.41414976882925,1,,15
constant,0,2,hapibd,poisson_shared,including_loop,True,False,15,True,False,20.728966271782355,1,2,15
constant,0,2,hapibd,poisson_separate,loop_omitted,True,False,15,True,False,14.77702912372888,1,,15
constant,0,2,hapibd,poisson_separate,including_loop,True,False,22,True,True,7.758962081768914,2,1,15
constant,0,3,true,poisson_shared,loop_omitted,True,False,15,True,False,193.00742004035718,1,,15
constant,0,3,true,poisson_shared,including_loop,True,False,15,True,False,10.971811567742378,1,2,15
constant,0,3,true,poisson_separate,loop_omitted,True,False,11,False,False,12.701067229483556,2,,15
constant,0,3,true,poisson_separate,including_loop,True,False,11,False,False,12.701067229483556,2,3,15
constant,0,3,hapibd,poisson_shared,loop_omitted,True,False,15,True,False,63.24630624366699,1,,15
constant,0,3,hapibd,poisson_shared,including_loop,True,False,15,True,False,5.211068654689711,1,2,15
constant,0,3,hapibd,poisson_separate,loop_omitted,True,False,15,True,False,15.160360529104423,1,,15
constant,0,3,hapibd,poisson_separate,including_loop,True,False,22,True,True,0.20162176082408223,2,1,15
constant,0,4,true,poisson_shared,loop_omitted,True,False,15,True,False,232.11891549799242,1,,15
constant,0,4,true,poisson_shared,including_loop,True,False,15,True,False,15.625790496297554,1,2,15
constant,0,4,true,poisson_separate,loop_omitted,True,False,15,True,False,3.7180433075255905,1,,15
constant,0,4,true,poisson_separate,including_loop,True,False,22,True,True,14.797632199508485,2,1,15
constant,0,4,hapibd,poisson_shared,loop_omitted,True,False,15,True,False,225.48386915494805,1,,15
constant,0,4,hapibd,poisson_shared,including_loop,True,False,15,True,False,17.758629859147987,1,2,15
constant,0,4,hapibd,poisson_separate,loop_omitted,True,False,15,True,False,5.383775031751327,1,,15
constant,0,4,hapibd,poisson_separate,including_loop,True,False,22,True,True,31.66744435518501,2,1,15
constant,0,5,true,poisson_shared,loop_omitted,True,False,15,True,False,82.46522464876736,1,,15
constant,0,5,true,poisson_shared,including_loop,True,False,15,True,False,8.840429996511745,1,2,15
constant,0,5,true,poisson_separate,loop_omitted,True,False,11,False,False,2.7861170850392227,2,,15
constant,0,5,true,poisson_separate,including_loop,True,False,22,True,True,32.18242785367113,3,1,15
constant,0,5,hapibd,poisson_shared,loop_omitted,True,False,15,True,False,79.19144662912484,1,,15
constant,0,5,hapibd,poisson_shared,including_loop,True,False,15,True,False,4.819765069663305,1,2,15
constant,0,5,hapibd,poisson_separate,loop_omitted,True,False,11,False,False,5.0426792596850305,2,,15
constant,0,5,hapibd,poisson_separate,including_loop,True,False,22,True,True,12.95017840366927,3,1,15
constant,0,6,true,poisson_shared,loop_omitted,True,False,15,True,False,75.09344720709478,1,,15
constant,0,6,true,poisson_shared,including_loop,True,False,15,True,False,19.5479112161093,1,2,15
constant,0,6,true,poisson_separate,loop_omitted,True,False,11,False,False,6.715614595018792,3,,15
constant,0,6,true,poisson_separate,including_loop,True,False,22,True,True,28.16259134357915,4,1,15
constant,0,6,hapibd,poisson_shared,loop_omitted,True,False,15,True,False,75.23898545928708,1,,15
constant,0,6,hapibd,poisson_shared,including_loop,True,False,15,True,False,12.76248737785474,1,2,15
constant,0,6,hapibd,poisson_separate,loop_omitted,True,False,11,False,False,6.378886511379051,2,,15
constant,0,6,hapibd,poisson_separate,including_loop,True,False,22,True,True,12.225706806570486,3,1,15
constant,0,7,true,poisson_shared,loop_omitted,True,False,15,True,False,238.81747776979304,1,,15
constant,0,7,true,poisson_shared,including_loop,True,False,15,True,False,9.116039884705316,1,2,15
constant,0,7,true,poisson_separate,loop_omitted,True,False,11,False,False,14.926111816167293,4,,15
constant,0,7,true,poisson_separate,including_loop,True,False,22,True,True,49.298561510907064,5,1,15
constant,0,7,hapibd,poisson_shared,loop_omitted,True,False,15,True,False,239.2803375289864,1,,15
constant,0,7,hapibd,poisson_shared,including_loop,True,False,15,True,False,16.168441988553496,1,2,15
constant,0,7,hapibd,poisson_separate,loop_omitted,True,False,15,True,False,9.343280359412006,1,,15
constant,0,7,hapibd,poisson_separate,including_loop,True,False,22,True,True,40.52843362143261,2,1,15
constant,0,8,true,poisson_shared,loop_omitted,True,False,15,True,False,59.931260618067626,1,,15
constant,0,8,true,poisson_shared,including_loop,True,False,15,True,False,12.907781788261502,1,2,15
constant,0,8,true,poisson_separate,loop_omitted,True,False,11,False,False,20.953647569987197,3,,15
constant,0,8,true,poisson_separate,including_loop,True,False,22,True,True,12.43809473473516,4,1,15
constant,0,8,hapibd,poisson_shared,loop_omitted,True,False,15,True,False,78.1475339864455,1,,15
constant,0,8,hapibd,poisson_shared,including_loop,True,False,15,True,False,20.493844766002866,1,2,15
constant,0,8,hapibd,poisson_separate,loop_omitted,True,False,11,False,False,10.089799357893185,2,,15
constant,0,8,hapibd,poisson_separate,including_loop,True,False,22,True,True,8.26393739482387,3,1,15
constant,0,9,true,poisson_shared,loop_omitted,True,False,15,True,False,74.09938716737688,1,,15
constant,0,9,true,poisson_shared,including_loop,True,False,15,True,False,13.39171343672973,1,2,15
constant,0,9,true,poisson_separate,loop_omitted,True,False,11,False,False,2.994083540940835,2,,15
constant,0,9,true,poisson_separate,including_loop,True,False,22,True,True,32.39665552981859,3,1,15
constant,0,9,hapibd,poisson_shared,loop_omitted,True,False,15,True,False,82.49278515729017,1,,15
constant,0,9,hapibd,poisson_shared,including_loop,True,False,15,True,False,5.485461779191354,1,2,15
constant,0,9,hapibd,poisson_separate,loop_omitted,True,False,11,False,False,31.548427570341573,2,,15
constant,0,9,hapibd,poisson_separate,including_loop,True,False,22,True,True,0.09853999480242237,3,1,15
