scenario,pool,replicate,source,variant,candidate,graph,reliable,best_order,node,branch,component,mean,lower,upper,t0,t1,young,old,harmonic,arithmetic
growth,0,9,hapibd,poisson_separate,g16_o2,16,False,False,a,,IBD,32606.931958116173,30648.151996471057,32712.561655077516,,,,,,
growth,0,9,hapibd,poisson_separate,g16_o2,16,False,False,b,,IBD,20898.001191327392,20817.999039321887,22742.112306232517,,,,,,
growth,0,9,hapibd,poisson_separate,g16_o2,16,False,False,c,,IBD,15463.675888430147,14728.05142071792,15494.35725253545,,,,,,
growth,0,9,hapibd,poisson_separate,g16_o2,16,False,False,n1,,IBD,21197.343325699618,17694.87571128556,21393.35162265196,,,,,,
growth,0,9,hapibd,poisson_separate,g16_o2,16,False,False,c.1,,IBD,19478.227808102813,12500.706552991764,19851.269152324643,,,,,,
growth,0,9,hapibd,poisson_separate,g16_o2,16,False,False,c.2,,IBD,16442.22267818823,13085.080016716744,16608.640969567252,,,,,,
growth,0,9,hapibd,poisson_separate,g16_o2,16,False,False,n2,,IBD,17284.020506228822,14204.320159532233,17452.33251021562,,,,,,
growth,0,9,hapibd,poisson_separate,g16_o2,16,False,False,root,,IBD,17232.585973527683,14008.675133366824,17406.851932013382,,,,,,
growth,0,9,hapibd,poisson_separate,g16_o2,16,False,False,a,,SNP,5875.180929388447,5849.828829531695,6312.807979342225,,,,,,
growth,0,9,hapibd,poisson_separate,g16_o2,16,False,False,b,,SNP,204324.97754911447,195567.74130307965,357909.2470432333,,,,,,
growth,0,9,hapibd,poisson_separate,g16_o2,16,False,False,c,,SNP,5406.014562551479,5393.053097258645,5604.856730230569,,,,,,
growth,0,9,hapibd,poisson_separate,g16_o2,16,False,False,n1,,SNP,27752.41526055173,27286.966028575738,36280.59312126085,,,,,,
growth,0,9,hapibd,poisson_separate,g16_o2,16,False,False,c.1,,SNP,17808.628905089896,17496.319847686154,17828.340343562777,,,,,,
growth,0,9,hapibd,poisson_separate,g16_o2,16,False,False,c.2,,SNP,6632.794737398324,6610.356108271496,7023.229437346875,,,,,,
growth,0,9,hapibd,poisson_separate,g16_o2,16,False,False,n2,,SNP,15963.567953218697,15932.098193991753,16539.69365476207,,,,,,
growth,0,9,hapibd,poisson_separate,g16_o2,16,False,False,root,,SNP,14552.43633195852,14495.73530603791,15590.590856998397,,,,,,
growth,0,9,hapibd,poisson_separate,g22_o2,22,False,True,a,a,IBD,41578.63368152904,32311.156034733864,50010.937198575695,0,50,150000.0,15000.000000000004,38376.41397765426,58629.761532959434
growth,0,9,hapibd,poisson_separate,g22_o2,22,False,True,b,b,IBD,15341.729433330383,12132.15276842261,22268.879603251844,0,10,60000.0,15000.0,27725.886112315693,32460.63971965263
growth,0,9,hapibd,poisson_separate,g22_o2,22,False,True,c,c,IBD,13111.197774213913,11836.824593828274,14097.634449133968,0,100,15000.0,15000.0,15000.000000000005,15000.000000000005
growth,0,9,hapibd,poisson_separate,g22_o2,22,False,True,loop1,loop1,IBD,15755.813350324874,12893.243077059671,21732.33209909463,10,25,15000.0,15000.0,15000.0,15000.000000000004
growth,0,9,hapibd,poisson_separate,g22_o2,22,False,True,loop2,loop2,IBD,15557.33202957102,13193.533796490838,18319.179464715362,10,25,5000.0,5000.0,5000.0,5000.0
growth,0,9,hapibd,poisson_separate,g22_o2,22,False,True,anc_b,anc_b,IBD,15601.170186115636,13797.291769410544,18150.644447688446,25,30,15000.0,15000.0,15000.000000000004,15000.000000000005
growth,0,9,hapibd,poisson_separate,g22_o2,22,False,True,b.1,b.1,IBD,18198.139160986742,16521.381727925404,20416.213655059335,30,50,15000.0,15000.0,14999.999999999998,15000.0
growth,0,9,hapibd,poisson_separate,g22_o2,22,False,True,b.2,b.2,IBD,34696.88881924637,26034.696150215837,44639.78557098022,30,100,5000.0,5000.0,5000.000000000001,5000.0
growth,0,9,hapibd,poisson_separate,g22_o2,22,False,True,right,right,IBD,36068.38054140847,27013.838059314297,44037.180968871275,100,300,15000.0,15000.0,15000.000000000004,15000.0
growth,0,9,hapibd,poisson_separate,g22_o2,22,False,True,left,left,IBD,12825.691944546987,11837.638196924467,14671.903888125218,50,300,15000.0,15000.0,14999.999999999996,15000.0
growth,0,9,hapibd,poisson_separate,g22_o2,22,False,True,root,root,IBD,17037.81111275265,14862.147381497309,18332.092329086485,300,,15000.0,15000.0,15000.0,15000.0
growth,0,9,hapibd,poisson_separate,g22_o2,22,False,True,a,a,SNP,15397.020833548251,13502.485835652393,16255.765646089201,0,50,150000.0,15000.000000000004,38376.41397765426,58629.761532959434
growth,0,9,hapibd,poisson_separate,g22_o2,22,False,True,b,b,SNP,16943.849327542965,14929.337369919438,18325.70889074021,0,10,60000.0,15000.0,27725.886112315693,32460.63971965263
growth,0,9,hapibd,poisson_separate,g22_o2,22,False,True,c,c,SNP,16269.164866866944,15418.707093857874,17802.377773650147,0,100,15000.0,15000.0,15000.000000000005,15000.000000000005
growth,0,9,hapibd,poisson_separate,g22_o2,22,False,True,loop1,loop1,SNP,16824.96730440841,15079.574443410625,17835.958992760894,10,25,15000.0,15000.0,15000.0,15000.000000000004
growth,0,9,hapibd,poisson_separate,g22_o2,22,False,True,loop2,loop2,SNP,16952.076248380545,14846.102505760984,18513.322916818437,10,25,5000.0,5000.0,5000.0,5000.0
growth,0,9,hapibd,poisson_separate,g22_o2,22,False,True,anc_b,anc_b,SNP,16881.190330763628,15415.090575048791,18378.550219758006,25,30,15000.0,15000.0,15000.000000000004,15000.000000000005
growth,0,9,hapibd,poisson_separate,g22_o2,22,False,True,b.1,b.1,SNP,16744.616013059465,15836.025045315218,18135.71491470166,30,50,15000.0,15000.0,14999.999999999998,15000.0
growth,0,9,hapibd,poisson_separate,g22_o2,22,False,True,b.2,b.2,SNP,16139.143564376609,15243.271847558477,18819.392245189614,30,100,5000.0,5000.0,5000.000000000001,5000.0
growth,0,9,hapibd,poisson_separate,g22_o2,22,False,True,right,right,SNP,16023.7407177941,14913.500153822803,18175.319754657623,100,300,15000.0,15000.0,15000.000000000004,15000.0
growth,0,9,hapibd,poisson_separate,g22_o2,22,False,True,left,left,SNP,16175.6664781042,15266.114167104854,17289.848816307138,50,300,15000.0,15000.0,14999.999999999996,15000.0
growth,0,9,hapibd,poisson_separate,g22_o2,22,False,True,root,root,SNP,15978.57128009884,15151.136462506862,17108.723324288025,300,,15000.0,15000.0,15000.0,15000.0
growth,0,9,hapibd,poisson_separate,g12_o2,12,False,True,a,,IBD,26475.301643426657,23706.01570733142,29089.095802115822,,,,,,
growth,0,9,hapibd,poisson_separate,g12_o2,12,False,True,b,,IBD,19268.301689649645,16535.95991900016,21843.849084877205,,,,,,
growth,0,9,hapibd,poisson_separate,g12_o2,12,False,True,c,,IBD,14007.34288020871,13448.307447841353,15813.774702662331,,,,,,
growth,0,9,hapibd,poisson_separate,g12_o2,12,False,True,n1,,IBD,23202.626772325562,21483.321277003884,24786.438874243202,,,,,,
growth,0,9,hapibd,poisson_separate,g12_o2,12,False,True,b.1,,IBD,23930.99112713309,22688.026344547903,25554.260325862455,,,,,,
growth,0,9,hapibd,poisson_separate,g12_o2,12,False,True,b.2,,IBD,22971.100173659805,21256.610014752714,24466.423543799476,,,,,,
growth,0,9,hapibd,poisson_separate,g12_o2,12,False,True,n2,,IBD,22989.30961115295,21300.276087487266,24396.52978161152,,,,,,
growth,0,9,hapibd,poisson_separate,g12_o2,12,False,True,root,,IBD,23533.403583573727,22478.263037486766,24828.758677909613,,,,,,
growth,0,9,hapibd,poisson_separate,g12_o2,12,False,True,a,,SNP,9004.935953635208,8568.737915738348,9912.093658696325,,,,,,
growth,0,9,hapibd,poisson_separate,g12_o2,12,False,True,b,,SNP,429007.47388829134,235814.920907626,645484.12596368,,,,,,
growth,0,9,hapibd,poisson_separate,g12_o2,12,False,True,c,,SNP,2750.4875981598716,2667.421522303169,2968.8222181221836,,,,,,
growth,0,9,hapibd,poisson_separate,g12_o2,12,False,True,n1,,SNP,23270.776915067512,19064.740547003992,24911.38787767746,,,,,,
growth,0,9,hapibd,poisson_separate,g12_o2,12,False,True,b.1,,SNP,26963.206877380355,22810.159862027067,32189.91185118683,,,,,,
growth,0,9,hapibd,poisson_separate,g12_o2,12,False,True,b.2,,SNP,29930.54086151059,24941.426011454754,32341.132415686494,,,,,,
growth,0,9,hapibd,poisson_separate,g12_o2,12,False,True,n2,,SNP,27780.562538743125,23038.84232176288,30075.490835592605,,,,,,
growth,0,9,hapibd,poisson_separate,g12_o2,12,False,True,root,,SNP,21177.592056650028,17522.644456495225,23888.057362286923,,,,,,
growth,0,9,hapibd,poisson_separate,g05_o1,5,False,True,a,,IBD,56941.36090019971,40758.92436004425,94727.17076468207,,,,,,
growth,0,9,hapibd,poisson_separate,g05_o1,5,False,True,b,,IBD,20744.387862207106,17730.026165809017,25781.94601910119,,,,,,
growth,0,9,hapibd,poisson_separate,g05_o1,5,False,True,c,,IBD,15801.919689782471,14694.63703349931,17122.506624092894,,,,,,
growth,0,9,hapibd,poisson_separate,g05_o1,5,False,True,a.1,,IBD,15846.360794853565,14411.208252432398,17564.905128031456,,,,,,
growth,0,9,hapibd,poisson_separate,g05_o1,5,False,True,a.2,,IBD,19642.128374905737,15700.246155036955,22686.776650035725,,,,,,
growth,0,9,hapibd,poisson_separate,g05_o1,5,False,True,n1,,IBD,17108.50242152134,16038.976749052235,19884.453036722607,,,,,,
growth,0,9,hapibd,poisson_separate,g05_o1,5,False,True,n2,,IBD,14773.695278262474,14022.046064025253,15767.072740142661,,,,,,
growth,0,9,hapibd,poisson_separate,g05_o1,5,False,True,root,,IBD,14398.34559083705,13534.773276426931,15160.224840646615,,,,,,
growth,0,9,hapibd,poisson_separate,g05_o1,5,False,True,a,,SNP,4669.834575685686,4361.1299726503885,5022.227631565415,,,,,,
growth,0,9,hapibd,poisson_separate,g05_o1,5,False,True,b,,SNP,375112.35945252585,258858.9736030421,545404.3169174904,,,,,,
growth,0,9,hapibd,poisson_separate,g05_o1,5,False,True,c,,SNP,6910.577177989609,6464.376635214763,7275.190369120132,,,,,,
growth,0,9,hapibd,poisson_separate,g05_o1,5,False,True,a.1,,SNP,14737.933426954482,10603.510583483585,17881.00894774762,,,,,,
growth,0,9,hapibd,poisson_separate,g05_o1,5,False,True,a.2,,SNP,13374.677736788579,12044.23243564335,14460.339472671632,,,,,,
growth,0,9,hapibd,poisson_separate,g05_o1,5,False,True,n1,,SNP,36794.226548028615,32894.91155911728,39242.82392369419,,,,,,
growth,0,9,hapibd,poisson_separate,g05_o1,5,False,True,n2,,SNP,16993.4630362615,16170.016414539326,17442.062123067753,,,,,,
growth,0,9,hapibd,poisson_separate,g05_o1,5,False,True,root,,SNP,15710.434509542374,15309.326318378935,16181.153501574825,,,,,,
growth,0,9,hapibd,poisson_separate,g21_o1,21,False,False,a,,IBD,86059.30101102385,60840.98522195384,106777.41621558394,,,,,,
growth,0,9,hapibd,poisson_separate,g21_o1,21,False,False,b,,IBD,19381.406837119208,18255.964348518508,20212.984185876507,,,,,,
growth,0,9,hapibd,poisson_separate,g21_o1,21,False,False,c,,IBD,14345.777943179824,12111.96343393608,14679.911766976613,,,,,,
growth,0,9,hapibd,poisson_separate,g21_o1,21,False,False,c.1,,IBD,11692.160599528479,10401.586573556748,11950.106157075506,,,,,,
growth,0,9,hapibd,poisson_separate,g21_o1,21,False,False,c.2,,IBD,13782.765116329954,13623.684139711906,14772.387319909629,,,,,,
growth,0,9,hapibd,poisson_separate,g21_o1,21,False,False,n1,,IBD,11915.804553285001,10407.440375198643,12324.821796132894,,,,,,
growth,0,9,hapibd,poisson_separate,g21_o1,21,False,False,n2,,IBD,31159.31618672927,29853.446765703982,31582.509331108868,,,,,,
growth,0,9,hapibd,poisson_separate,g21_o1,21,False,False,root,,IBD,30256.347876037158,29093.38042142212,30391.71919102325,,,,,,
growth,0,9,hapibd,poisson_separate,g21_o1,21,False,False,a,,SNP,6828.271420037047,6727.362649492413,7407.343374809569,,,,,,
growth,0,9,hapibd,poisson_separate,g21_o1,21,False,False,b,,SNP,512377.9076851429,386751.6923718417,549930.8459163223,,,,,,
growth,0,9,hapibd,poisson_separate,g21_o1,21,False,False,c,,SNP,2167.8544470493202,1883.6442861939552,2438.843734074219,,,,,,
growth,0,9,hapibd,poisson_separate,g21_o1,21,False,False,c.1,,SNP,12271.982699171953,10318.86152924336,12659.433151969533,,,,,,
growth,0,9,hapibd,poisson_separate,g21_o1,21,False,False,c.2,,SNP,2661.0679795452324,2613.6122339696785,2751.0071850120194,,,,,,
growth,0,9,hapibd,poisson_separate,g21_o1,21,False,False,n1,,SNP,11477.881984478956,10383.153833695913,11639.664108286015,,,,,,
growth,0,9,hapibd,poisson_separate,g21_o1,21,False,False,n2,,SNP,17039.30030752329,15469.882440364061,17474.29569399319,,,,,,
growth,0,9,hapibd,poisson_separate,g21_o1,21,False,False,root,,SNP,16778.448779266455,15173.193701231214,17182.867653414898,,,,,,
growth,0,9,hapibd,poisson_separate,g09_o2,9,False,True,a,,IBD,58217.39502949546,43735.068807511,74929.55484171632,,,,,,
growth,0,9,hapibd,poisson_separate,g09_o2,9,False,True,b,,IBD,20689.83622178349,19745.494126995196,22799.61228018727,,,,,,
growth,0,9,hapibd,poisson_separate,g09_o2,9,False,True,c,,IBD,14040.973511191743,12707.177902479025,15616.575115672518,,,,,,
growth,0,9,hapibd,poisson_separate,g09_o2,9,False,True,a.1,,IBD,17746.760764713013,14643.296301275253,20274.34609416812,,,,,,
growth,0,9,hapibd,poisson_separate,g09_o2,9,False,True,a.2,,IBD,17239.69063322777,16382.480236122705,18894.005724071973,,,,,,
growth,0,9,hapibd,poisson_separate,g09_o2,9,False,True,n2,,IBD,17246.699802220573,16422.614659432915,18761.408899869275,,,,,,
growth,0,9,hapibd,poisson_separate,g09_o2,9,False,True,n1,,IBD,17960.84584501441,16952.506288598364,19306.78337294879,,,,,,
