scenario,pool,replicate,source,variant,search,rank,graph,newick,best_order,reliable,logz,elbo
growth,0,0,true,poisson_separate,loop_omitted,14,20,"(((b,c.1),c.2),a)",g20_o1,False,-594.0288303713891,-633.7422050475411
growth,0,0,true,poisson_separate,loop_omitted,15,14,"(((b.1,c),b.2),a)",g14_o1,False,-600.0117588718241,-643.9792816122834
growth,0,0,true,poisson_separate,loop_omitted,16,13,"(((b.1,c),a),b.2)",g13_o1,False,-596.7845271059911,-647.7637306814805
growth,0,0,true,poisson_separate,loop_omitted,17,18,"(((a,c.1),c.2),b)",g18_o1,False,-595.183984798686,-663.004178680608
growth,0,0,true,poisson_separate,loop_omitted,18,21,"((a,c.1),(b,c.2))",g21_o2,False,-594.7119807610541,-669.9895942970626
growth,0,0,true,poisson_separate,loop_omitted,19,12,"(((a,c),b.1),b.2)",g12_o2,False,-599.1492782227809,-702.3384302673121
growth,0,0,true,poisson_separate,loop_omitted,20,8,"(((b,c),a.1),a.2)",g08_o1,False,-594.753091860916,-836.5997456093073
growth,0,0,true,poisson_separate,loop_omitted,21,6,"(((a.1,c),a.2),b)",g06_o1,False,-594.8716002122738,-958.9498777583204
growth,0,0,true,poisson_separate,including_loop,1,15,"((a,b.1),(b.2,c))",g15_o2,False,-204.2934880216158,-251.93236321162973
growth,0,0,true,poisson_separate,including_loop,2,22,"b-loop + ((a,b.1),(b.2,c))",g22_o2,False,-229.3462932346911,-265.5270959375388
growth,0,0,true,poisson_separate,including_loop,3,11,"(((a,b.1),c),b.2)",g11_o1,False,-235.61259715406266,-269.2104566231887
growth,0,0,true,poisson_separate,including_loop,4,10,"(((a,b.1),b.2),c)",g10_o1,False,-233.39135556951308,-295.0765167908506
growth,0,0,true,poisson_separate,including_loop,5,1,"((a,b),c)",g01_o1,False,-254.23764640764597,-297.8577721883508
growth,0,0,true,poisson_separate,including_loop,6,19,"(((b,c.1),a),c.2)",g19_o1,False,-277.3791767906015,-303.87039324166057
growth,0,0,true,poisson_separate,including_loop,7,17,"(((a,c.1),b),c.2)",g17_o1,False,-267.0015477047822,-312.35329900060873
growth,0,0,true,poisson_separate,including_loop,8,9,"((a.1,b),(a.2,c))",g09_o2,False,-269.3295622027118,-330.1656669553295
growth,0,0,true,poisson_separate,including_loop,9,16,"(((a,b),c.1),c.2)",g16_o1,False,-267.1302700579745,-382.15524975606974
growth,0,0,true,poisson_separate,including_loop,10,4,"(((a.1,b),a.2),c)",g04_o1,False,-276.6955875832372,-383.84272390169474
growth,0,0,true,poisson_separate,including_loop,11,5,"(((a.1,b),c),a.2)",g05_o1,False,-269.59483454051616,-406.25267073778855
growth,0,0,true,poisson_separate,including_loop,12,3,"((b,c),a)",g03_o1,False,-573.850385816398,-601.0772044560464
growth,0,0,true,poisson_separate,including_loop,13,2,"((a,c),b)",g02_o1,False,-578.4495075644262,-604.6663440395378
growth,0,0,true,poisson_separate,including_loop,14,7,"(((a.1,c),b),a.2)",g07_o1,False,-588.298289170538,-627.0629006178201
growth,0,0,true,poisson_separate,including_loop,15,20,"(((b,c.1),c.2),a)",g20_o1,False,-594.0288303713891,-633.7422050475411
growth,0,0,true,poisson_separate,including_loop,16,14,"(((b.1,c),b.2),a)",g14_o1,False,-600.0117588718241,-643.9792816122834
growth,0,0,true,poisson_separate,including_loop,17,13,"(((b.1,c),a),b.2)",g13_o1,False,-596.7845271059911,-647.7637306814805
growth,0,0,true,poisson_separate,including_loop,18,18,"(((a,c.1),c.2),b)",g18_o1,False,-595.183984798686,-663.004178680608
growth,0,0,true,poisson_separate,including_loop,19,21,"((a,c.1),(b,c.2))",g21_o2,False,-594.7119807610541,-669.9895942970626
growth,0,0,true,poisson_separate,including_loop,20,12,"(((a,c),b.1),b.2)",g12_o2,False,-599.1492782227809,-702.3384302673121
growth,0,0,true,poisson_separate,including_loop,21,8,"(((b,c),a.1),a.2)",g08_o1,False,-594.753091860916,-836.5997456093073
growth,0,0,true,poisson_separate,including_loop,22,6,"(((a.1,c),a.2),b)",g06_o1,False,-594.8716002122738,-958.9498777583204
growth,0,0,hapibd,poisson_shared,loop_omitted,1,15,"((a,b.1),(b.2,c))",g15_o1,False,-194.83885794728195,-207.12719224832313
growth,0,0,hapibd,poisson_shared,loop_omitted,2,9,"((a.1,b),(a.2,c))",g09_o1,False,-328.916720076485,-403.34780319205953
growth,0,0,hapibd,poisson_shared,loop_omitted,3,17,"(((a,c.1),b),c.2)",g17_o1,False,-401.2275890838004,-419.2714236254891
growth,0,0,hapibd,poisson_shared,loop_omitted,4,19,"(((b,c.1),a),c.2)",g19_o1,False,-452.38758086491765,-465.9476544567735
growth,0,0,hapibd,poisson_shared,loop_omitted,5,16,"(((a,b),c.1),c.2)",g16_o2,False,-446.80475582287,-477.4500528017475
growth,0,0,hapibd,poisson_shared,loop_omitted,6,10,"(((a,b.1),b.2),c)",g10_o1,False,-224.4831315005478,-688.4037700039424
growth,0,0,hapibd,poisson_shared,loop_omitted,7,11,"(((a,b.1),c),b.2)",g11_o1,False,-227.33510575190445,-694.2847218807386
growth,0,0,hapibd,poisson_shared,loop_omitted,8,1,"((a,b),c)",g01_o1,False,-440.8322027676337,-791.1425320489637
growth,0,0,hapibd,poisson_shared,loop_omitted,9,4,"(((a.1,b),a.2),c)",g04_o1,False,-397.49734089527163,-796.7800274638809
growth,0,0,hapibd,poisson_shared,loop_omitted,10,5,"(((a.1,b),c),a.2)",g05_o1,False,-407.7413950624444,-845.6427115815108
growth,0,0,hapibd,poisson_shared,loop_omitted,11,13,"(((b.1,c),a),b.2)",g13_o1,False,-756.7700915799885,-845.7703158924731
growth,0,0,hapibd,poisson_shared,loop_omitted,12,14,"(((b.1,c),b.2),a)",g14_o1,False,-763.2884157706766,-848.5367772032338
growth,0,0,hapibd,poisson_shared,loop_omitted,13,18,"(((a,c.1),c.2),b)",g18_o1,False,-793.6790756444143,-863.583769603598
growth,0,0,hapibd,poisson_shared,loop_omitted,14,6,"(((a.1,c),a.2),b)",g06_o1,False,-861.2025083444586,-886.0250968163831
growth,0,0,hapibd,poisson_shared,loop_omitted,15,21,"((a,c.1),(b,c.2))",g21_o2,False,-853.0043161159314,-932.8984837740571
growth,0,0,hapibd,poisson_shared,loop_omitted,16,20,"(((b,c.1),c.2),a)",g20_o1,False,-878.8419477702257,-937.5256223289085
growth,0,0,hapibd,poisson_shared,loop_omitted,17,7,"(((a.1,c),b),a.2)",g07_o1,False,-848.871515915669,-993.2164130513871
