scenario,pool,replicate,source,variant,candidate,graph,reliable,best_order,lp_ibd,lp_snp,chi2_ibd,chi2_snp
growth,0,6,true,poisson_separate,g22_o1,22,False,True,-194.92431731232855,44.26817904096046,108.18963038075977,4.6321332444605146
growth,0,6,true,poisson_separate,g16_o1,16,False,True,-220.73338631590948,20.06672244526513,153.20025974436854,53.03504643586834
growth,0,6,true,poisson_separate,g02_o1,2,False,True,-544.6384557170018,20.321777231790257,870.3165334522059,52.52493686292074
growth,0,6,true,poisson_separate,g12_o1,12,False,True,-545.8893342238382,20.050732019588825,883.1886627132066,53.06702728715538
growth,0,6,true,poisson_separate,g15_o2,15,False,False,-206.82834774361558,45.04646815343397,129.95300130682483,3.0755550195711314
growth,0,6,true,poisson_separate,g21_o2,21,False,True,-546.784053874113,18.333830851496224,889.3353820245318,56.500829623476164
growth,0,6,true,poisson_separate,g09_o1,9,False,True,-215.95775455209858,19.963158073249613,153.6004523034335,53.24217517992738
growth,0,6,true,poisson_separate,g19_o1,19,False,True,-219.5625116921644,20.238570527067225,148.5108367645824,52.691350272272174
growth,0,6,true,poisson_separate,g08_o1,8,False,True,-524.3358861121189,21.05365768267101,855.5666881884367,51.061175961032475
growth,0,6,true,poisson_separate,g18_o1,18,False,True,-523.753139408981,19.27360571784431,854.0255758189847,54.621279890729554
growth,0,6,true,poisson_separate,g16_o2,16,False,False,-220.73543261998842,19.874517474055242,156.29323594816532,53.41945637829309
growth,0,6,true,poisson_separate,g22_o2,22,False,False,-207.68496395882732,44.387684293774285,133.0796246371342,4.393122738887782
growth,0,6,true,poisson_separate,g12_o2,12,False,False,-550.9816059608809,18.777531320882613,902.5034527612416,55.61342868468716
growth,0,6,true,poisson_separate,g05_o1,5,False,True,-214.90401890758852,19.686188004715145,152.17592011109235,53.796115316963906
growth,0,6,true,poisson_separate,g21_o1,21,False,False,-526.86311200521,22.24808170201672,833.9740258651252,48.67232792246736
growth,0,6,true,poisson_separate,g09_o2,9,False,False,-216.5091421117992,18.784963021505614,152.955997212976,55.59856528343217
growth,0,6,true,poisson_separate,g15_o1,15,False,True,-194.11277534851317,46.02268974046838,109.47841254212534,1.1231118454085678
