scenario,pool,replicate,source,variant,candidate,graph,status,reliable,ess,pareto_k,seconds
growth,0,1,true,poisson_separate,g16_o2,16,ok,False,1.280022780856161,2.395799046760112,34.08226945716888
growth,0,1,true,poisson_separate,g22_o2,22,ok,False,4.7483340400144005,2.243378107395992,42.5981003344059
growth,0,1,true,poisson_separate,g12_o2,12,ok,False,1.0033613866801339,1.931564770501252,41.575479625724256
growth,0,1,true,poisson_separate,g05_o1,5,ok,False,3.2547524042046994,2.048853237168333,32.021921125240624
growth,0,1,true,poisson_separate,g21_o1,21,ok,False,2.382830831608244,2.577501650789097,35.77359916642308
growth,0,1,true,poisson_separate,g09_o2,9,ok,False,1.3862396756422337,2.1308872947899555,32.15082712471485
growth,0,1,true,poisson_separate,g15_o1,15,ok,False,5.056259488529653,1.9430037496959638,26.514283708296716
growth,0,1,true,poisson_separate,g01_o1,1,ok,False,6.944567461251921,2.076847459304164,16.142588375136256
growth,0,1,true,poisson_separate,g11_o1,11,ok,False,2.3258051639941666,2.1453632065628168,30.469559834338725
growth,0,1,true,poisson_separate,g10_o1,10,ok,False,1.267513801925998,2.0369518798607045,29.592730957083404
growth,0,1,true,poisson_separate,g04_o1,4,ok,False,1.007770867822652,2.459520532913203,27.178281583823264
growth,0,1,true,poisson_separate,g20_o1,20,ok,False,1.3062557543362212,2.425848176864705,33.85322824958712
growth,0,1,true,poisson_separate,g08_o2,8,ok,False,1.0346062859404368,1.9136551361450267,41.497503875754774
growth,0,1,true,poisson_separate,g14_o1,14,ok,False,1.417219263962831,2.1482329683622043,36.04379604104906
growth,0,1,hapibd,poisson_shared,g03_o1,3,ok,False,47.78121049116716,1.1210313552668836,13.887028791941702
growth,0,1,hapibd,poisson_shared,g13_o1,13,ok,False,8.198588376169079,1.4781816574380573,37.25694404076785
growth,0,1,hapibd,poisson_shared,g07_o1,7,ok,False,2.6109786111793465,1.6321835006857415,37.70577741693705
growth,0,1,hapibd,poisson_shared,g17_o1,17,ok,False,6.547798487656006,1.529603673488657,27.811265165917575
growth,0,1,hapibd,poisson_shared,g06_o1,6,ok,False,3.2119103882824325,1.7353724626593439,34.14906712528318
growth,0,1,hapibd,poisson_shared,g22_o1,22,ok,False,4.117553672388324,1.7220860173571146,20.24735999945551
growth,0,1,hapibd,poisson_shared,g16_o1,16,ok,False,12.51599850443783,1.5470992154165573,30.42457616701722
growth,0,1,hapibd,poisson_shared,g02_o1,2,ok,False,13.759304708992177,1.0559483406880663,16.502261333167553
growth,0,1,hapibd,poisson_shared,g12_o1,12,ok,False,1.496417008567601,1.8765829738529343,42.15309904143214
growth,0,1,hapibd,poisson_shared,g15_o2,15,ok,False,8.035030526594964,1.5912966065735499,21.34187679272145
growth,0,1,hapibd,poisson_shared,g21_o2,21,ok,False,2.0401414337128227,1.7092640721990724,35.38772549945861
growth,0,1,hapibd,poisson_shared,g09_o1,9,ok,False,2.785694841432643,1.6613238076008394,30.163147000595927
growth,0,1,hapibd,poisson_shared,g19_o1,19,ok,False,1.1595943419425208,1.6294234732021091,33.59961500018835
growth,0,1,hapibd,poisson_shared,g08_o1,8,ok,False,9.237700326110202,2.6218342169471454,38.21047579217702
growth,0,1,hapibd,poisson_shared,g18_o1,18,ok,False,8.329224438198096,1.9995584772003963,37.58699829224497
growth,0,1,hapibd,poisson_shared,g16_o2,16,ok,False,4.092920602300086,1.655075873073277,26.565070957876742
growth,0,1,hapibd,poisson_shared,g22_o2,22,ok,False,5.9749435674367755,1.809539702083235,22.43054462503642
growth,0,1,hapibd,poisson_shared,g12_o2,12,ok,False,2.372663472393965,3.5790875951775543,35.673981624655426
growth,0,1,hapibd,poisson_shared,g05_o1,5,ok,False,2.5837828306245547,1.9400958174508987,24.50461870804429
growth,0,1,hapibd,poisson_shared,g21_o1,21,ok,False,12.352470343283168,1.6263899989951895,29.137515207752585
growth,0,1,hapibd,poisson_shared,g09_o2,9,ok,False,7.075762545107585,1.3524195978304905,25.062197292223573
growth,0,1,hapibd,poisson_shared,g15_o1,15,ok,False,2.287904609149357,1.5609171961738113,23.825912666507065
growth,0,1,hapibd,poisson_shared,g01_o1,1,ok,False,23.119613596901914,1.149731341737444,12.270503374747932
growth,0,1,hapibd,poisson_shared,g11_o1,11,ok,False,5.255490038579945,1.5422869142990727,32.68117445893586
growth,0,1,hapibd,poisson_shared,g10_o1,10,ok,False,4.525801805441086,1.498346204364471,28.622340667061508
growth,0,1,hapibd,poisson_shared,g04_o1,4,ok,False,10.257236547549052,2.252254119490644,28.202964666299522
growth,0,1,hapibd,poisson_shared,g20_o1,20,ok,False,5.353838722772813,1.9819264179091451,29.91146808397025
growth,0,1,hapibd,poisson_shared,g08_o2,8,ok,False,11.720851937625035,3.6444807516765496,32.704405374825
growth,0,1,hapibd,poisson_shared,g14_o1,14,ok,False,2.8563077873916836,1.4414863788942978,32.60129033308476
growth,0,1,hapibd,poisson_separate,g03_o1,3,ok,False,9.115602521595719,1.5981515768757404,16.593197375535965
growth,0,1,hapibd,poisson_separate,g13_o1,13,ok,False,4.9879822539613246,2.1243106185235234,43.276188457384706
growth,0,1,hapibd,poisson_separate,g07_o1,7,ok,False,8.655329677480449,2.42245451632741,36.461655207909644
