scenario,pool,replicate,source,variant,candidate,graph,reliable,parameter,mean,lower,upper,truth,error
growth,0,0,hapibd,poisson_shared,g22_o2,22,False,root,318.3878733027733,317.2862537156901,326.5603551468047,300,18.3878733027733
growth,0,0,hapibd,poisson_shared,g15_o1,15,False,b_split,31.467609715374127,30.225188789768378,33.470835974373884,30,1.4676097153741274
growth,0,0,hapibd,poisson_shared,g15_o1,15,False,b_fraction,0.7048272455880622,0.6942310758976059,0.7252831894791495,0.75,-0.0451727544119378
growth,0,0,hapibd,poisson_shared,g15_o1,15,False,left,55.124281522031225,53.685113224532365,57.69667729498183,50,5.124281522031225
growth,0,0,hapibd,poisson_shared,g15_o1,15,False,right,141.41965191944544,136.55382021840816,147.73822656258668,100,41.41965191944544
growth,0,0,hapibd,poisson_shared,g15_o1,15,False,root,259.01818283631485,252.6940490233359,264.8280326725929,300,-40.98181716368515
growth,0,0,hapibd,poisson_separate,g22_o1,22,False,loop_open,6.687402250981978,5.545336970615626,6.926884501039273,10,-3.312597749018022
growth,0,0,hapibd,poisson_separate,g22_o1,22,False,loop_major_fraction,0.5569898105712647,0.5363990006011679,0.6456627466831049,0.75,-0.19301018942873527
growth,0,0,hapibd,poisson_separate,g22_o1,22,False,loop_close,20.71771982679843,18.413935722003412,21.232571180997734,25,-4.2822801732015705
growth,0,0,hapibd,poisson_separate,g22_o1,22,False,b_split,41.78044194218431,37.28222088287509,42.62525755406392,30,11.78044194218431
growth,0,0,hapibd,poisson_separate,g22_o1,22,False,b_fraction,0.6667988126023205,0.6495884178284395,0.6697137749028179,0.75,-0.08320118739767945
growth,0,0,hapibd,poisson_separate,g22_o1,22,False,left,58.010618638705495,54.686944110889,58.765648251178845,50,8.010618638705495
growth,0,0,hapibd,poisson_separate,g22_o1,22,False,right,130.06840567257703,128.05383113549104,132.2729731694589,100,30.06840567257703
growth,0,0,hapibd,poisson_separate,g22_o1,22,False,root,278.3808898961986,275.9823571219546,283.8288695387656,300,-21.619110103801404
growth,0,0,hapibd,poisson_separate,g15_o2,15,False,b_split,31.045953015656693,25.132201932811594,32.81202645548041,30,1.0459530156566927
growth,0,0,hapibd,poisson_separate,g15_o2,15,False,b_fraction,0.8125410224285774,0.7996309082115987,0.8216253366669036,0.75,0.0625410224285774
growth,0,0,hapibd,poisson_separate,g15_o2,15,False,right,64.63962292466027,60.19374836288032,68.18472616591009,100,-35.36037707533973
growth,0,0,hapibd,poisson_separate,g15_o2,15,False,left,67.72618482092545,62.68302759329497,71.26890531132533,50,17.726184820925454
growth,0,0,hapibd,poisson_separate,g15_o2,15,False,root,348.3907798200952,334.0871232965918,364.12301197925643,300,48.39077982009519
growth,0,0,hapibd,poisson_separate,g22_o2,22,False,loop_open,4.258692781207219,2.740831465721818,8.972157121517657,10,-5.741307218792781
growth,0,0,hapibd,poisson_separate,g22_o2,22,False,loop_major_fraction,0.631279017209322,0.5005592210545668,0.7769546021389523,0.75,-0.118720982790678
growth,0,0,hapibd,poisson_separate,g22_o2,22,False,loop_close,15.224627764409096,13.15194887684161,18.831260207394358,25,-9.775372235590904
growth,0,0,hapibd,poisson_separate,g22_o2,22,False,b_split,33.423950713129905,29.626126192799056,36.493752147442486,30,3.423950713129905
growth,0,0,hapibd,poisson_separate,g22_o2,22,False,b_fraction,0.8200521267085223,0.8114903493515021,0.824780869759757,0.75,0.07005212670852234
growth,0,0,hapibd,poisson_separate,g22_o2,22,False,right,62.8560889357428,60.05904322777891,64.77362995209448,100,-37.1439110642572
growth,0,0,hapibd,poisson_separate,g22_o2,22,False,left,65.51985164688367,62.42149799632446,68.02938990910967,50,15.519851646883666
growth,0,0,hapibd,poisson_separate,g22_o2,22,False,root,333.46181865193483,318.98307967846057,341.611652977377,300,33.461818651934834
growth,0,0,hapibd,poisson_separate,g15_o1,15,False,b_split,38.48443967150066,35.126524353327696,40.77933811895816,30,8.48443967150066
growth,0,0,hapibd,poisson_separate,g15_o1,15,False,b_fraction,0.6885655713679864,0.6566982005281959,0.70225751006148,0.75,-0.06143442863201365
growth,0,0,hapibd,poisson_separate,g15_o1,15,False,left,57.743180939465915,54.19873832276804,59.013618589239655,50,7.7431809394659155
growth,0,0,hapibd,poisson_separate,g15_o1,15,False,right,134.36204879251497,123.97656325435625,140.50960292450128,100,34.36204879251497
growth,0,0,hapibd,poisson_separate,g15_o1,15,False,root,294.21391864479966,277.76389441630243,302.1899004793718,300,-5.786081355200338
growth,0,1,true,poisson_shared,g22_o1,22,False,loop_open,13.01922657685354,10.986965628016197,15.120821729502651,10,3.0192265768535407
growth,0,1,true,poisson_shared,g22_o1,22,False,loop_major_fraction,0.7618977229939957,0.7144502581847643,0.7892431154479917,0.75,0.011897722993995719
growth,0,1,true,poisson_shared,g22_o1,22,False,loop_close,23.37233814730004,21.737251420199815,26.948703800222575,25,-1.6276618526999584
growth,0,1,true,poisson_shared,g22_o1,22,False,b_split,46.257551132174065,42.485816039699365,50.819584967976105,30,16.257551132174065
growth,0,1,true,poisson_shared,g22_o1,22,False,b_fraction,0.7356212358354016,0.7262621009726727,0.7478206425768438,0.75,-0.014378764164598379
growth,0,1,true,poisson_shared,g22_o1,22,False,left,58.202663681644125,54.99336270648199,61.81261337164502,50,8.202663681644125
growth,0,1,true,poisson_shared,g22_o1,22,False,right,119.00154661749703,108.61830509510051,123.21872639537959,100,19.001546617497027
growth,0,1,true,poisson_shared,g22_o1,22,False,root,280.5661620841162,267.8154087264696,292.1409280986959,300,-19.433837915883828
growth,0,1,true,poisson_shared,g15_o2,15,False,b_split,39.068817996745885,39.1282093271144,39.12910941416127,30,9.068817996745885
growth,0,1,true,poisson_shared,g15_o2,15,False,b_fraction,0.7756561285799376,0.7755009730658736,0.7755011948132763,0.75,0.025656128579937598
growth,0,1,true,poisson_shared,g15_o2,15,False,right,63.624779815016645,63.55606801047084,63.55781896942064,100,-36.375220184983355
growth,0,1,true,poisson_shared,g15_o2,15,False,left,65.7177715829769,65.62665980642898,65.6270309312324,50,15.717771582976894
growth,0,1,true,poisson_shared,g15_o2,15,False,root,339.20349961457174,339.51556207965257,339.5193350078553,300,39.20349961457174
growth,0,1,true,poisson_shared,g22_o2,22,False,loop_open,6.8248893373832855,4.2731261685261055,8.94169334989789,10,-3.1751106626167145
growth,0,1,true,poisson_shared,g22_o2,22,False,loop_major_fraction,0.7474269191764109,0.5716799577315272,0.9506567441407419,0.75,-0.002573080823589091
growth,0,1,true,poisson_shared,g22_o2,22,False,loop_close,19.112868164693673,15.605871359737026,20.927961405452187,25,-5.887131835306327
growth,0,1,true,poisson_shared,g22_o2,22,False,b_split,37.624072539289905,34.28151285923564,39.59487540242083,30,7.624072539289905
growth,0,1,true,poisson_shared,g22_o2,22,False,b_fraction,0.7678543542828078,0.7492234211106165,0.7812577292515169,0.75,0.017854354282807794
growth,0,1,true,poisson_shared,g22_o2,22,False,right,67.86396577656605,64.18524315416381,71.39459423572148,100,-32.13603422343395
growth,0,1,true,poisson_shared,g22_o2,22,False,left,70.2818073208619,66.81352856334662,74.50117486829728,50,20.2818073208619
growth,0,1,true,poisson_shared,g22_o2,22,False,root,310.1192484322985,303.5645058414367,326.8441184970924,300,10.119248432298491
growth,0,1,true,poisson_shared,g15_o1,15,False,b_split,33.36436317378532,31.312081104219864,35.42457582534533,30,3.3643631737853212
growth,0,1,true,poisson_shared,g15_o1,15,False,b_fraction,0.7348159699164647,0.7022322081247472,0.7390992072664042,0.75,-0.015184030083535305
growth,0,1,true,poisson_shared,g15_o1,15,False,left,55.82299511303763,50.283826683573366,59.381979696469294,50,5.822995113037628
growth,0,1,true,poisson_shared,g15_o1,15,False,right,131.84408503461387,125.93001058328076,149.65951772527274,100,31.84408503461387
growth,0,1,true,poisson_shared,g15_o1,15,False,root,260.9329390922429,248.84927427456475,263.0852350480642,300,-39.06706090775708
growth,0,1,true,poisson_separate,g22_o1,22,False,loop_open,5.516651207862338,4.136930798380332,6.401598640678054,10,-4.483348792137662
growth,0,1,true,poisson_separate,g22_o1,22,False,loop_major_fraction,0.5557990631388537,0.5147567254465881,0.6532733661059754,0.75,-0.19420093686114626
growth,0,1,true,poisson_separate,g22_o1,22,False,loop_close,18.1624707182705,17.18062841003198,18.338835780476153,25,-6.837529281729498
growth,0,1,true,poisson_separate,g22_o1,22,False,b_split,38.561717358030386,36.526456166062964,40.98963224429166,30,8.561717358030386
growth,0,1,true,poisson_separate,g22_o1,22,False,b_fraction,0.6933390176953727,0.679599033472661,0.7258340352436695,0.75,-0.05666098230462735
growth,0,1,true,poisson_separate,g22_o1,22,False,left,56.02640775286135,54.332521963232594,56.21893116785818,50,6.026407752861353
growth,0,1,true,poisson_separate,g22_o1,22,False,right,121.94894024827903,119.48629412377528,124.11413445008115,100,21.94894024827903
growth,0,1,true,poisson_separate,g22_o1,22,False,root,268.74324103007075,265.2314992109323,274.5104090985254,300,-31.25675896992925
growth,0,1,true,poisson_separate,g15_o2,15,False,b_split,31.172755540387005,27.94465512152496,35.026123415577274,30,1.172755540387005
growth,0,1,true,poisson_separate,g15_o2,15,False,b_fraction,0.823092557177614,0.8106400841376541,0.8359131720750765,0.75,0.07309255717761398
growth,0,1,true,poisson_separate,g15_o2,15,False,right,61.067547254713,57.864587586643765,63.84007202074194,100,-38.932452745287
growth,0,1,true,poisson_separate,g15_o2,15,False,left,64.0471244350254,61.25664760104925,67.01102023302134,50,14.047124435025395
growth,0,1,true,poisson_separate,g15_o2,15,False,root,340.23591305544,309.0521739057521,354.14017825013974,300,40.235913055439994
growth,0,1,true,poisson_separate,g22_o2,22,False,loop_open,5.250155033885781,4.176919369944667,6.014708806964714,10,-4.749844966114219
growth,0,1,true,poisson_separate,g22_o2,22,False,loop_major_fraction,0.650940212126433,0.5195121785234815,0.7992841004182226,0.75,-0.09905978787356695
growth,0,1,true,poisson_separate,g22_o2,22,False,loop_close,15.091315269723507,12.295780211448236,17.28457693112265,25,-9.908684730276493
growth,0,1,true,poisson_separate,g22_o2,22,False,b_split,35.33553362394356,31.520399165111634,36.86299775552187,30,5.335533623943562
growth,0,1,true,poisson_separate,g22_o2,22,False,b_fraction,0.8212332418966973,0.8155447396531085,0.8331027391757794,0.75,0.07123324189669733
growth,0,1,true,poisson_separate,g22_o2,22,False,right,62.298841243245484,58.60852748312931,63.80510198790883,100,-37.701158756754516
growth,0,1,true,poisson_separate,g22_o2,22,False,left,65.16092359237007,62.23135318149998,66.57636235474197,50,15.160923592370068
growth,0,1,true,poisson_separate,g22_o2,22,False,root,330.67831548248137,323.3113693606333,335.80473261028055,300,30.678315482481366
growth,0,1,true,poisson_separate,g15_o1,15,False,b_split,38.07045828257679,36.23266207164428,39.570564676071896,30,8.070458282576787
growth,0,1,true,poisson_separate,g15_o1,15,False,b_fraction,0.7191805592544275,0.6972534875689372,0.74411743650218,0.75,-0.030819440745572524
growth,0,1,true,poisson_separate,g15_o1,15,False,left,57.194333654182266,54.20154343384148,58.762783111245895,50,7.194333654182266
